camera,Age,Ram,Cpu_score,Slot_sd,Sims,Price
193,138,8,57,0,1,3830
199,120,8,84,1,2,2871
100,69,66,76,0,1,6499
15,132,16,87,0,1,4536
140,113,4,68,0,1,4821
183,31,12,65,1,2,2670
187,45,12,51,1,2,1264
191,123,4,72,1,2,6046
84,93,16,73,0,1,7510
185,14,16,44,1,1,7304
148,57,8,86,0,2,6217
184,53,66,58,0,1,2019
198,8,66,75,0,1,7864
56,133,4,74,0,1,7594
55,119,12,43,1,2,3308
117,18,12,89,0,2,3282
22,21,8,83,1,2,7076
144,162,12,66,0,1,943
57,195,8,60,1,1,4188
172,18,4,62,0,2,4623
132,41,16,75,1,2,7319
105,37,4,64,1,1,4561
73,130,8,65,1,1,5366
117,122,16,44,1,1,1439
45,71,16,42,0,1,6813
15,142,12,61,1,2,1194
164,137,4,52,1,2,1912
9,195,66,53,0,1,5848
35,194,12,78,1,2,4882
200,124,16,53,0,1,6698
143,148,4,88,1,2,5459
110,192,8,80,1,1,6694
36,56,66,63,1,2,5459
151,197,12,97,1,1,1900
110,28,16,81,0,2,4974
15,157,66,44,0,2,2899
131,164,66,66,1,1,6370
84,100,8,89,0,2,2960
198,189,12,46,1,2,2327
84,107,8,59,0,2,7261
162,53,66,74,0,1,1145
174,57,12,46,0,2,7371
66,65,16,90,0,2,7840
152,156,12,46,1,1,1849
154,166,16,58,0,2,7145
144,184,66,77,1,2,4381
87,58,4,44,1,2,7810
136,40,66,46,1,1,1782
160,84,12,84,0,2,6800
97,178,12,94,1,2,7783
133,193,8,48,0,1,6688
25,107,4,73,0,1,7979
184,108,4,67,1,1,6014
151,13,8,98,1,2,2935
99,119,4,58,0,1,1832
109,195,4,99,0,2,3438
182,187,16,51,1,2,7096
39,89,4,40,1,2,7580
35,166,66,79,1,2,1476
35,37,8,63,1,2,3554
90,55,66,51,0,1,5223
106,66,8,75,1,2,2491
152,162,8,51,1,2,7898
111,138,66,69,1,2,3300
157,41,12,93,1,2,4701
19,59,66,92,0,2,3683
159,27,4,47,1,1,1354
155,105,4,53,0,2,2295
11,161,16,44,0,1,1562
133,97,12,49,1,2,2697
